"day","complaint_type","daily","cumulative"
"2024-01-25","AppIssue",1,1
"2024-02-27","AppIssue",1,2
"2024-03-06","AppIssue",1,3
"2024-03-11","AppIssue",1,4
"2024-03-17","AppIssue",1,5
"2024-04-30","AppIssue",1,6
"2024-05-04","AppIssue",1,7
"2024-05-12","AppIssue",1,8
"2024-05-14","AppIssue",1,9
"2024-06-12","AppIssue",1,10
"2024-07-05","AppIssue",1,11
"2024-07-09","AppIssue",2,13
"2024-07-25","AppIssue",1,14
"2024-08-13","AppIssue",1,15
"2024-08-30","AppIssue",1,16
"2024-09-17","AppIssue",1,17
"2024-09-20","AppIssue",1,18
"2024-09-25","AppIssue",1,19
"2024-09-26","AppIssue",1,20
"2024-11-10","AppIssue",2,22
"2024-11-19","AppIssue",1,23
"2024-11-27","AppIssue",1,24
"2024-11-30","AppIssue",1,25
"2024-12-06","AppIssue",1,26
"2024-12-10","AppIssue",1,27
"2024-12-15","AppIssue",1,28
"2025-01-07","AppIssue",1,29
"2025-01-17","AppIssue",1,30
"2025-02-08","AppIssue",1,31
"2025-02-09","AppIssue",1,32
"2025-03-30","AppIssue",1,33
"2025-04-12","AppIssue",1,34
"2025-04-16","AppIssue",1,35
"2025-04-22","AppIssue",1,36
"2025-04-26","AppIssue",1,37
"2025-04-30","AppIssue",1,38
"2025-05-01","AppIssue",1,39
"2025-05-29","AppIssue",1,40
"2025-06-09","AppIssue",1,41
"2025-06-11","AppIssue",1,42
"2025-06-26","AppIssue",1,43
"2025-07-23","AppIssue",1,44
"2025-09-07","AppIssue",1,45
"2025-09-21","AppIssue",1,46
"2025-09-22","AppIssue",1,47
"2025-10-11","AppIssue",1,48
"2025-10-23","AppIssue",1,49
"2025-11-02","AppIssue",1,50
"2025-11-18","AppIssue",1,51
"2025-12-15","AppIssue",1,52
"2026-01-06","AppIssue",1,53
"2024-01-30","Billing",1,1
"2024-02-19","Billing",1,2
"2024-06-05","Billing",1,3
"2024-06-30","Billing",1,4
"2024-08-31","Billing",1,5
"2024-10-27","Billing",1,6
"2024-11-02","Billing",1,7
"2024-11-30","Billing",1,8
"2024-12-11","Billing",1,9
"2025-02-14","Billing",1,10
"2025-03-16","Billing",1,11
"2025-05-01","Billing",1,12
"2025-06-28","Billing",1,13
"2025-07-01","Billing",1,14
"2025-10-19","Billing",1,15
"2025-12-10","Billing",1,16
"2024-01-18","Damage",1,1
"2024-01-22","Damage",1,2
"2024-02-13","Damage",1,3
"2024-02-28","Damage",1,4
"2024-03-01","Damage",1,5
"2024-03-30","Damage",1,6
"2024-03-31","Damage",2,8
"2024-04-07","Damage",1,9
"2024-04-26","Damage",1,10
"2024-06-18","Damage",1,11
"2024-06-19","Damage",1,12
"2024-11-20","Damage",1,13
"2025-04-18","Damage",1,14
"2025-04-26","Damage",1,15
"2024-01-02","Delay",1,1
"2024-01-09","Delay",1,2
"2024-01-16","Delay",1,3
"2024-01-28","Delay",1,4
"2024-01-30","Delay",1,5
"2024-02-06","Delay",1,6
"2024-02-09","Delay",1,7
"2024-03-04","Delay",1,8
"2024-03-06","Delay",1,9
"2024-03-08","Delay",1,10
"2024-03-17","Delay",1,11
"2024-03-20","Delay",1,12
"2024-04-01","Delay",1,13
"2024-04-07","Delay",1,14
"2024-04-11","Delay",1,15
"2024-04-25","Delay",1,16
"2024-04-27","Delay",2,18
"2024-04-28","Delay",1,19
"2024-04-29","Delay",1,20
"2024-06-11","Delay",1,21
"2024-06-14","Delay",1,22
"2024-06-25","Delay",2,24
"2024-07-01","Delay",1,25
"2024-07-03","Delay",1,26
"2024-07-08","Delay",1,27
"2024-07-12","Delay",1,28
"2024-07-22","Delay",1,29
"2024-08-02","Delay",2,31
"2024-08-09","Delay",1,32
"2024-08-14","Delay",1,33
"2024-08-18","Delay",1,34
"2024-08-20","Delay",1,35
"2024-08-30","Delay",1,36
"2024-08-31","Delay",1,37
"2024-09-17","Delay",1,38
"2024-09-21","Delay",1,39
"2024-09-27","Delay",1,40
"2024-10-04","Delay",1,41
"2024-10-07","Delay",1,42
"2024-10-11","Delay",1,43
"2024-10-13","Delay",1,44
"2024-11-02","Delay",1,45
"2024-11-05","Delay",1,46
"2024-11-11","Delay",2,48
"2024-11-13","Delay",1,49
"2024-11-14","Delay",1,50
"2024-11-15","Delay",1,51
"2024-11-19","Delay",1,52
"2024-12-01","Delay",1,53
"2024-12-07","Delay",1,54
"2024-12-15","Delay",1,55
"2024-12-23","Delay",1,56
"2025-01-05","Delay",1,57
"2025-01-13","Delay",1,58
"2025-01-14","Delay",1,59
"2025-01-18","Delay",2,61
"2025-03-07","Delay",2,63
"2025-03-14","Delay",1,64
"2025-03-16","Delay",1,65
"2025-03-26","Delay",1,66
"2025-03-28","Delay",1,67
"2025-04-07","Delay",1,68
"2025-04-12","Delay",1,69
"2025-04-20","Delay",1,70
"2025-05-17","Delay",1,71
"2025-05-19","Delay",1,72
"2025-05-20","Delay",1,73
"2025-05-22","Delay",1,74
"2025-06-02","Delay",1,75
"2025-06-08","Delay",1,76
"2025-06-19","Delay",1,77
"2025-06-20","Delay",1,78
"2025-06-22","Delay",2,80
"2025-06-24","Delay",1,81
"2025-07-16","Delay",1,82
"2025-07-29","Delay",1,83
"2025-08-16","Delay",1,84
"2025-09-01","Delay",1,85
"2025-09-18","Delay",1,86
"2025-09-23","Delay",1,87
"2025-09-29","Delay",1,88
"2025-10-03","Delay",1,89
"2025-10-08","Delay",1,90
"2025-10-20","Delay",1,91
"2025-11-04","Delay",1,92
"2025-11-07","Delay",1,93
"2025-11-27","Delay",1,94
"2025-12-04","Delay",1,95
"2025-12-09","Delay",1,96
"2025-12-19","Delay",1,97
"2025-12-20","Delay",1,98
"2025-12-23","Delay",1,99
"2026-01-02","Delay",1,100
"2026-01-04","Delay",1,101
"2024-01-10","DriverBehaviour",1,1
"2024-01-15","DriverBehaviour",1,2
